,Autocorr_MZ,Autocorr_DZ,Autocorr_NT,Crosscorr MZ,Crosscorr DZ,Crosscorr NT
0,0.9696369866107853,0.9815659169380855,0.9866339135556299,0.9099634685241351,0.9112177861745072,0.8944418996621271
1,0.9608881009609593,0.9830952755814166,0.9761844023030443,0.878620722897367,0.9153782866181026,0.8921603409554633
2,0.9536120529704726,0.9858110056441058,0.9882682210600825,0.8865432068509604,0.9026327478724969,0.898604922352599
3,0.7936421434138562,0.9859313882888474,0.9847869653593123,0.7522762515845869,0.9083533431925742,0.9082809276741749
4,0.9711656886947785,0.9886458842081653,0.97926662073163,0.7684711729715547,0.9054027477478446,0.9041361309713722
5,0.7634083444047441,0.9876829557109051,0.9829988034551829,0.9389058728374423,0.9021551978161121,0.8886657965698176
6,0.9860700947784564,0.9865818452799079,0.9870228606390381,0.9275650027837414,0.9304799114669089,0.8735410393106133
7,0.98751910067969,0.9813770956811219,0.8461585793956192,0.9287255544007729,0.9174413895889144,0.9032189133080013
8,0.9735034784510741,0.9874376274035969,0.9677452257804753,0.8827427946537723,0.6763301760179932,0.9005489531464688
9,0.9392581038038794,0.7993720458219439,0.9833308299978073,0.9342064111334216,0.8367673796463322,0.912736959023301
10,0.9839682092828044,0.989167606943531,0.9738304307233843,0.9260660429070298,0.8772648369540232,0.874881741808485
11,0.984825599110664,0.9605902984065638,0.9882225091259556,0.9245936502530254,0.8950355520702216,0.8884173490602536
12,0.9854100734147209,0.9731757536309038,0.9867091770297998,0.9515244383746002,0.9050222130007733,0.9013898225137069
13,0.9815554453376446,0.9837649306481799,0.9860759723424479,0.9404690464178505,0.9028104872084978,0.8745533511468553
14,0.986875412377229,0.9886203645888691,0.9722405764900892,0.9447228300086354,0.9063990463110048,0.8897494120334478
15,0.9850420693482855,0.9829253822650221,0.969253872331699,0.9362876471415553,0.9240517249076243,0.8994467120478304
16,0.9882205644217273,0.987030157118023,0.9866629249147676,0.9496649814887852,0.8917980078689971,0.8984989486289628
17,0.9870593888194588,0.9886242958993333,0.943087319138932,0.9501029570804653,0.8961183329340737,0.8909056660132675
18,0.9876726253069852,0.9208313500212559,0.973390624787575,0.9395091246696207,0.9293517376736639,0.8791925111968967
19,0.9824078976249339,0.9865913224485316,0.9758491310429828,0.9419347715549837,0.8920673910412927,0.8933790898305785
20,0.9806791391986486,0.9856406924461399,0.9689278769862912,0.9281623304278692,0.9240395192766532,0.9005911845639181
21,0.9841727307921813,0.9844711425688231,0.9878472787179673,0.9291803318268761,0.9252724913824778,0.7385891366047588
22,0.9781358240761886,0.8396773802183443,0.9800247843762391,0.9169043314829155,0.747573141563144,0.8961451032210619
23,0.9869936056256403,0.9828932999736383,0.9784177895279214,0.9296737931305591,0.9158289632023544,0.9219580642305085
24,0.8598686247527598,0.9254124899660103,0.8127508934667063,0.7824987174626415,0.9021751135236646,0.8985078388572421
25,0.9853972979841088,0.9020202721881294,,0.9333327031611709,0.8734431394217146,0.8818082391519844
26,0.9867224736689648,,,0.8398685487376001,,0.8822279689846151
27,0.9079365172868692,,,0.9280626017421079,,0.9090271528896128
28,0.9884799686160545,,,0.9135557039505301,,0.8831566846530857
29,0.9862349906657071,,,0.9168855894615794,,0.9016829914758739
30,0.9787476276720583,,,0.8126429049284332,,0.8815519255215014
31,0.8255674600513456,,,0.9382936725440139,,0.90119733652378
32,0.9872582567177721,,,0.9292535829216961,,0.8836853518723369
33,0.9844751032028787,,,0.9355800722339704,,0.8936475798207935
34,0.9869433718874272,,,0.9028497671170672,,0.9005295383867715
35,0.9853876061237432,,,0.8991489694689341,,0.8912206843403769
36,0.9821239666113512,,,0.9221066830296196,,0.8758847275726656
37,0.9793963078743988,,,0.9293501324180413,,0.9136431913735379
